id_producto,total_venta,total_costo,utilidad,margen
FUR-ADV-10000002,159.12,98.73,60.39,0.3795
FUR-ADV-10000108,350.07,346.71,3.36,0.0096
FUR-ADV-10000183,974.83,1626.57,-651.74,-0.6506
FUR-ADV-10000188,124.95,120.75,4.2,-0.2195
FUR-ADV-10000190,222.36,117.9,104.46,0.4698
FUR-ADV-10000571,2194.8,1492.8,702.0,0.3198
FUR-ADV-10000600,205.8,181.2,24.6,0.1195
FUR-ADV-10000847,290.73,209.55,81.18,0.2792
FUR-ADV-10001283,177.79,266.76,-88.97,-0.7338
FUR-ADV-10001440,959.14,782.76,176.38,-0.0535
FUR-ADV-10001659,147.06,130.2,16.86,-0.0575
FUR-ADV-10001855,89.66,77.04,12.62,-0.0043
FUR-ADV-10002329,7.48,17.01,-9.53,-1.2753
FUR-ADV-10002601,495.36,295.35,200.01,0.2368
FUR-ADV-10002632,36.07,84.78,-48.71,-1.3503
FUR-ADV-10002889,803.77,865.26,-61.49,-0.1421
FUR-ADV-10003147,187.2,129.36,57.84,0.309
FUR-ADV-10003326,54.19,42.6,11.59,-0.0392
FUR-ADV-10004159,194.67,481.35,-286.68,-1.4726
FUR-ADV-10004223,66.81,73.02,-6.21,-0.5393
FUR-ADV-10004395,614.08,609.87,4.21,0.0417
FUR-ADV-10004499,250.05,210.15,39.9,0.1596
FUR-ADV-10004718,124.81,144.99,-20.18,-0.5472
FUR-ADV-10004971,392.85,271.08,121.77,0.31
FUR-BAR-10000560,1003.02,972.96,30.06,0.03
FUR-BAR-10000831,319.77,198.27,121.5,0.38
FUR-BAR-10000946,3360.21,3225.81,134.4,0.04
FUR-BAR-10001039,212.08,515.1,-303.02,-1.4794
FUR-BAR-10002449,7371.27,5012.85,2358.42,0.3199
FUR-BAR-10002710,364.43,911.16,-546.73,-1.5002
FUR-BAR-10003465,285.25,836.76,-551.51,-1.9335
FUR-BAR-10003532,3075.81,5536.62,-2460.81,-0.4734
FUR-BAR-10003576,636.6,375.6,261.0,0.41
FUR-BAR-10004434,2058.0,1111.32,946.68,0.46
FUR-BAR-10004553,568.57,862.38,-293.81,-0.8201
FUR-BAR-10004561,518.4,451.02,67.38,0.13
FUR-BAR-10004682,2011.92,1086.48,925.44,0.46
FUR-BEV-10000326,531.18,440.88,90.3,0.17
FUR-BEV-10000388,315.75,186.3,129.45,0.41
FUR-BEV-10001048,923.76,674.37,249.39,0.27
FUR-BEV-10001217,1070.16,749.16,321.0,0.3
FUR-BEV-10001853,984.18,639.72,344.46,0.35
FUR-BEV-10002193,1248.91,3028.68,-1779.77,-1.4251
FUR-BEV-10002369,942.06,2049.18,-1107.12,-0.8852
FUR-BEV-10002803,925.23,619.92,305.31,0.33
FUR-BEV-10003414,694.39,515.88,178.51,0.0899
FUR-BEV-10004805,1842.66,958.2,884.46,0.48
FUR-BEV-10004919,2668.05,1814.4,853.65,0.32
FUR-BO-10000002,4442.64,4338.84,103.8,-0.0028
FUR-BO-10000008,465.16,721.02,-255.86,-0.5501
FUR-BO-10000021,243.06,141.0,102.06,0.4199
FUR-BO-10000022,2201.55,2157.54,44.01,0.0226
FUR-BO-10000034,1450.35,2109.6,-659.25,-0.6356
FUR-BO-10000035,8308.14,5019.84,3288.3,0.3983
FUR-BO-10000038,2632.82,4300.56,-1667.74,-0.5722
FUR-BO-10000071,3046.23,1962.84,1083.39,0.3879
FUR-BO-10000087,5234.43,5150.92,83.51,-0.0298
FUR-BO-10000112,2393.84,2276.41,117.44,0.0423
FUR-BO-10000120,1262.65,1042.5,220.15,-0.1045
FUR-BO-10000148,818.89,1047.42,-228.53,-0.3333
FUR-BO-10000155,1798.64,1288.8,509.84,0.1752
FUR-BO-10000160,704.05,391.14,312.91,0.4444
FUR-BO-10000170,4943.11,5218.08,-274.97,-0.0556
FUR-BO-10000175,1934.33,1493.79,440.54,0.2172
FUR-BO-10000184,157.68,303.54,-145.86,-0.925
FUR-BO-10000195,1179.04,908.64,270.4,0.2578
FUR-BO-10000203,6874.72,4265.88,2608.84,0.3805
FUR-BO-10000208,3890.56,2935.35,955.22,0.1358
FUR-BO-10000210,8797.53,6638.58,2158.95,0.2618
FUR-BO-10000214,291.79,685.74,-393.95,-1.3501
FUR-BO-10000243,4690.77,4105.08,585.69,0.1167
FUR-BO-10000259,7667.62,6809.04,858.58,0.1229
FUR-BO-10000265,2364.89,1667.82,697.07,0.2792
FUR-BO-10000268,1504.34,1773.96,-269.62,-0.0918
FUR-BO-10000269,893.59,699.4,194.19,0.1439
FUR-BO-10000279,6222.86,5687.4,535.46,0.126
FUR-BO-10000288,8368.67,8500.2,-131.54,-0.0131
FUR-BO-10000311,1236.06,961.38,274.68,0.2222
FUR-BO-10000321,893.72,1083.0,-189.28,-0.3128
FUR-BO-10000330,1064.62,1040.43,24.2,0.0388
FUR-BO-10000362,2154.35,1843.16,311.18,0.0983
FUR-BO-10000378,1288.9,1242.9,46.0,-0.005
FUR-BO-10000402,833.8,746.1,87.7,0.1027
FUR-BO-10000411,2820.05,1739.04,1081.01,0.3698
FUR-BO-10000425,959.11,1000.32,-41.21,0.0266
FUR-BO-10000468,723.84,856.95,-133.11,-0.2367
FUR-BO-10000490,7784.89,7112.52,672.37,0.0791
FUR-BO-10000502,5437.52,4911.6,525.92,0.0316
FUR-BO-10000514,2586.67,3807.21,-1220.54,-0.3371
FUR-BO-10000517,260.35,618.4,-358.05,-1.3752
FUR-BO-10000533,493.68,439.44,54.24,0.1099
FUR-BO-10000567,10638.16,9748.96,889.2,-0.0238
FUR-BO-10000596,9033.31,5788.8,3244.51,0.3175
FUR-BO-10000610,1377.35,829.53,547.82,0.4054
FUR-BO-10000616,444.31,533.34,-89.03,-0.2004
FUR-BO-10000623,311.4,685.08,-373.68,-1.2
FUR-BO-10000624,6301.58,6372.08,-70.5,-0.0101
FUR-BO-10000636,1688.1,1195.2,492.9,0.3215
FUR-BO-10000655,1109.05,1022.85,86.2,0.0777
FUR-BO-10000666,1304.64,1122.12,182.52,0.1399
FUR-BO-10000668,3377.08,3266.82,110.26,-0.0049
FUR-BO-10000670,3062.56,2115.0,947.56,0.291
FUR-BO-10000676,1361.12,1915.68,-554.56,-0.4372
FUR-BO-10000684,2106.39,2192.16,-85.77,-0.1782
FUR-BO-10000699,3798.64,3560.4,238.24,0.0452
FUR-BO-10000700,232.85,329.88,-97.03,-0.4167
FUR-BO-10000711,851.76,621.78,229.98,0.27
FUR-BO-10000712,250.68,137.88,112.8,0.45
FUR-BO-10000728,10384.1,8288.56,2095.54,0.2396
FUR-BO-10000734,1253.4,1069.6,183.8,0.1466
FUR-BO-10000746,1322.78,811.58,511.2,0.3537
FUR-BO-10000780,2946.37,3714.11,-767.74,-0.2872
FUR-BO-10000786,3304.19,2181.09,1123.1,0.3422
FUR-BO-10000791,483.2,1063.1,-579.9,-1.2001
FUR-BO-10000797,1072.2,1000.86,71.34,0.0665
FUR-BO-10000807,473.04,496.8,-23.76,-0.0502
FUR-BO-10000820,598.1,432.0,166.1,0.2777
FUR-BO-10000847,2006.24,1293.9,712.34,0.2906
FUR-BO-10000883,950.62,986.88,-36.26,-0.2809
FUR-BO-10000889,205.63,291.36,-85.73,-0.4169
FUR-BO-10000891,3470.04,3866.76,-396.72,-0.2513
FUR-BO-10000892,759.06,743.94,15.12,0.0199
FUR-BO-10000895,1976.65,1597.86,378.79,0.2095
FUR-BO-10000936,1866.84,1545.06,321.78,0.1571
FUR-BO-10000961,2197.54,1678.32,519.22,0.2035
FUR-BO-10000967,6346.48,5376.36,970.12,-0.0199
FUR-BO-10000980,5289.93,3497.85,1792.08,0.3233
FUR-BO-10001003,1555.95,809.16,746.79,0.48
FUR-BO-10001010,2267.54,1769.4,498.14,0.2061
FUR-BO-10001039,5586.34,4448.85,1137.49,0.1687
FUR-BO-10001042,1961.12,2023.0,-61.88,-0.103
FUR-BO-10001067,1032.18,905.92,126.26,0.0477
FUR-BO-10001073,7246.82,6380.64,866.18,0.0485
FUR-BO-10001099,975.39,942.6,32.79,0.018
FUR-BO-10001133,6296.9,4507.68,1789.22,0.2557
FUR-BO-10001147,2784.61,2400.84,383.77,0.1737
FUR-BO-10001155,2900.7,3095.37,-194.67,-0.1124
FUR-BO-10001165,3448.3,3492.72,-44.42,0.0271
FUR-BO-10001192,5575.97,3763.8,1812.17,0.3282
FUR-BO-10001196,4786.62,4724.64,61.98,0.0017
FUR-BO-10001201,1811.48,1173.5,637.98,0.3191
FUR-BO-10001212,9187.97,9413.28,-225.31,-0.0851
FUR-BO-10001216,3480.44,2436.48,1043.96,0.2617
FUR-BO-10001233,753.79,1122.12,-368.33,-0.7919
FUR-BO-10001254,287.94,287.94,0.0,0.0
FUR-BO-10001255,4903.19,5035.2,-132.01,-0.1228
FUR-BO-10001256,821.11,801.36,19.75,0.0287
FUR-BO-10001271,349.87,463.62,-113.75,-0.3251
FUR-BO-10001276,318.82,414.48,-95.66,-0.3001
FUR-BO-10001287,2245.17,1465.38,779.79,0.3455
FUR-BO-10001295,1232.9,779.24,453.66,0.3399
FUR-BO-10001309,1235.25,975.87,259.38,0.21
FUR-BO-10001318,418.46,606.8,-188.34,-0.4501
FUR-BO-10001324,2978.14,2413.92,564.22,0.1729
FUR-BO-10001326,1447.2,1201.2,246.0,0.17
FUR-BO-10001337,2970.06,3048.7,-78.64,-0.0178
FUR-BO-10001342,2345.49,2531.64,-186.15,-0.1268
FUR-BO-10001356,6342.44,5464.48,877.96,0.1333
FUR-BO-10001358,688.18,927.2,-239.02,-0.4012
FUR-BO-10001362,1315.87,1398.12,-82.25,-0.1333
FUR-BO-10001369,665.58,520.8,144.78,0.1924
FUR-BO-10001370,1140.13,1157.67,-17.54,-0.1733
FUR-BO-10001372,9097.65,8583.75,513.9,0.0441
FUR-BO-10001385,2053.17,1479.6,573.57,0.3384
FUR-BO-10001387,2419.9,1873.23,546.67,0.0743
FUR-BO-10001390,1096.13,794.88,301.25,0.1902
FUR-BO-10001392,4054.71,2572.5,1482.21,0.3608
FUR-BO-10001393,3844.59,3786.75,57.84,-0.0365
FUR-BO-10001405,4482.47,2894.46,1588.01,0.3561
FUR-BO-10001436,1413.49,1371.72,41.77,0.0671
FUR-BO-10001452,248.22,151.44,96.78,0.3899
FUR-BO-10001461,2122.82,1082.07,1040.75,0.4906
FUR-BO-10001471,10537.89,5887.44,4650.45,0.4511
FUR-BO-10001476,804.32,742.14,62.18,0.0978
FUR-BO-10001483,2403.16,2793.18,-390.02,-0.2328
FUR-BO-10001498,9725.8,6924.0,2801.8,0.2019
FUR-BO-10001501,11560.53,7517.76,4042.77,0.2947
FUR-BO-10001507,484.52,426.4,58.12,0.12
FUR-BO-10001519,1119.2,972.1,147.09,0.0232
FUR-BO-10001524,166.48,283.1,-116.62,-0.7005
FUR-BO-10001537,1102.68,1058.67,44.01,0.0399
FUR-BO-10001541,2936.52,3168.48,-231.96,-0.1673
FUR-BO-10001553,7481.26,7675.2,-193.94,-0.0175
FUR-BO-10001555,1234.5,1061.7,172.8,0.14
FUR-BO-10001558,953.06,1211.76,-258.7,-0.1867
FUR-BO-10001567,90.88,281.73,-190.85,-2.1
FUR-BO-10001580,3534.52,3163.86,370.66,-0.0037
FUR-BO-10001585,2658.09,2171.76,486.33,0.0898
FUR-BO-10001596,3600.54,4189.5,-588.96,-0.1105
FUR-BO-10001598,2919.17,1654.56,1264.61,0.4227
FUR-BO-10001601,935.2,1060.94,-125.74,-0.1118
FUR-BO-10001608,1570.08,1597.05,-26.97,-0.2081
FUR-BO-10001619,424.9,397.71,27.19,0.1225
FUR-BO-10001621,2021.54,1264.14,757.4,0.2426
FUR-BO-10001641,2140.51,1398.15,742.36,0.3401
FUR-BO-10001646,6175.46,5019.58,1155.88,0.2034
FUR-BO-10001668,4742.08,5110.35,-368.27,-0.1678
FUR-BO-10001679,1170.86,908.82,262.04,0.2234
FUR-BO-10001699,77.31,139.2,-61.89,-0.8005
FUR-BO-10001708,3590.55,3393.6,196.95,0.0603
FUR-BO-10001714,979.66,1129.41,-149.75,-0.1358
FUR-BO-10001721,775.93,472.4,303.53,0.3465
FUR-BO-10001739,5234.88,4744.74,490.14,0.0888
FUR-BO-10001746,171.36,188.52,-17.16,-0.1001
FUR-BO-10001749,10110.66,10474.11,-363.45,-0.1415
FUR-BO-10001753,3371.24,2305.2,1066.04,0.2456
FUR-BO-10001779,2806.16,1655.92,1150.24,0.4099
FUR-BO-10001781,5343.36,5392.2,-48.84,-0.1486
FUR-BO-10001798,1263.96,1320.28,-56.32,-0.1396
FUR-BO-10001811,5492.88,5477.84,15.05,-0.1281
FUR-BO-10001822,6368.74,7020.6,-651.86,-0.0617
FUR-BO-10001831,2270.27,1769.76,500.51,0.2188
FUR-BO-10001834,1898.98,1542.66,356.32,0.0287
FUR-BO-10001835,779.58,576.9,202.68,0.26
FUR-BO-10001860,2455.49,1885.8,569.69,0.2095
FUR-BO-10001867,1528.3,1273.44,254.86,0.1482
FUR-BO-10001872,449.5,479.52,-30.02,-0.0668
FUR-BO-10001873,674.15,985.32,-311.17,-0.7153
FUR-BO-10001874,4043.28,3535.68,507.6,0.0864
FUR-BO-10001875,1834.2,1045.5,788.7,0.43
FUR-BO-10001876,814.37,597.24,217.13,0.2666
FUR-BO-10001888,768.15,563.4,204.75,0.2665
FUR-BO-10001892,3578.62,3936.57,-357.95,-0.1756
FUR-BO-10001918,1014.17,1432.72,-418.55,-0.3132
FUR-BO-10001934,17094.02,17403.36,-309.34,-0.0727
FUR-BO-10001943,4209.73,4537.44,-327.71,-0.0778
FUR-BO-10001946,3012.67,3399.46,-386.79,-0.2685
FUR-BO-10001966,686.11,676.44,9.67,0.0031
FUR-BO-10001967,1337.42,1352.7,-15.28,-0.0302
FUR-BO-10001969,1545.88,2107.1,-561.22,-0.3819
FUR-BO-10001972,2740.2,3715.3,-975.1,-0.8291
FUR-BO-10002000,7044.03,6291.54,752.49,0.0994
FUR-BO-10002003,7838.1,9623.64,-1785.54,-0.19
FUR-BO-10002008,327.92,340.3,-12.38,-0.0839
FUR-BO-10002031,7369.18,6822.6,546.58,0.0489
FUR-BO-10002032,1747.41,1413.0,334.41,0.1165
FUR-BO-10002042,219.81,439.64,-219.83,-1.0001
FUR-BO-10002084,2943.13,2994.04,-50.91,0.0022
FUR-BO-10002109,909.0,958.62,-49.62,-0.0546
FUR-BO-10002133,948.82,587.04,361.78,0.377
FUR-BO-10002142,933.3,1152.9,-219.6,-0.225
FUR-BO-10002182,4120.27,4041.36,78.91,-0.0255
FUR-BO-10002202,400.03,513.29,-113.26,-0.7054
FUR-BO-10002204,7342.86,5138.7,2204.16,0.3474
FUR-BO-10002206,119.83,132.52,-12.69,-0.1059
FUR-BO-10002213,12921.64,12901.96,19.69,-0.0191
FUR-BO-10002214,2709.6,3688.74,-979.14,-0.3614
FUR-BO-10002235,1196.35,864.64,331.71,0.2959
FUR-BO-10002250,1374.96,715.2,659.76,0.4798
FUR-BO-10002268,754.73,1049.5,-294.77,-0.6346
FUR-BO-10002277,2662.46,2641.92,20.54,0.0056
FUR-BO-10002285,1048.13,1013.52,34.61,-0.0662
FUR-BO-10002289,622.05,472.8,149.25,0.2399
FUR-BO-10002300,9069.31,5640.58,3428.73,0.2638
FUR-BO-10002308,4524.37,3767.04,757.33,0.1418
FUR-BO-10002309,320.62,350.8,-30.18,-0.0463
FUR-BO-10002318,3843.5,3389.1,454.4,0.1116
FUR-BO-10002324,1772.17,1248.68,523.49,0.2299
FUR-BO-10002325,2527.79,2637.84,-110.05,-0.0334
FUR-BO-10002334,402.61,426.6,-23.99,-0.1867
FUR-BO-10002346,2123.77,1784.36,339.41,0.1039
FUR-BO-10002352,2300.03,1879.2,420.83,0.134
FUR-BO-10002378,1089.7,1111.5,-21.8,-0.0012
FUR-BO-10002383,4780.69,4200.96,579.73,0.0812
FUR-BO-10002387,4986.29,4795.56,190.73,0.0327
FUR-BO-10002390,5410.09,5613.57,-203.48,-0.0043
FUR-BO-10002423,1048.11,990.36,57.75,0.0507
FUR-BO-10002444,4022.45,2875.62,1146.83,0.2883
FUR-BO-10002462,4816.75,4858.2,-41.45,-0.0257
FUR-BO-10002471,1570.8,1548.6,22.2,-0.0888
FUR-BO-10002510,5489.32,5049.66,439.66,0.0673
FUR-BO-10002529,2452.28,2261.7,190.58,0.0777
FUR-BO-10002545,7539.71,6759.38,780.33,0.0449
FUR-BO-10002574,132.26,251.36,-119.1,-0.9006
FUR-BO-10002580,3516.0,4019.96,-503.96,-0.1978
FUR-BO-10002592,197.92,381.0,-183.08,-0.925
FUR-BO-10002598,1320.23,957.52,362.71,0.2545
FUR-BO-10002613,5184.08,5310.52,-126.44,-0.1009
FUR-BO-10002632,4400.04,3686.52,713.52,0.1492
